training_loss,training_accuracy,validation_loss,validation_accuracy,precision_m_train,recall_m_train,f1_m_train,precision_m_val,recall_m_val,f1_m_val
1.5647647380828857,0.3129740059375763,1.6619170904159546,0.28588759899139404,0.3762192130088806,0.028080789372324944,0.05130879580974579,0.0,0.0,0.0
1.5271023511886597,0.33006370067596436,1.5449268817901611,0.3651435375213623,0.46637606620788574,0.03093755804002285,0.056940458714962006,0.012820511125028133,0.0004006410308647901,0.0007770006777718663
1.5102373361587524,0.34098494052886963,1.461904525756836,0.38050949573516846,0.4601009786128998,0.026016555726528168,0.04854128509759903,0.2916666567325592,0.010817307978868484,0.020693350583314896
1.5038700103759766,0.35261401534080505,1.403383731842041,0.38819247484207153,0.5081639289855957,0.04124058783054352,0.07467047870159149,0.546031653881073,0.05128205195069313,0.09174175560474396
1.4914567470550537,0.3535241186618805,1.408874750137329,0.38293570280075073,0.482937753200531,0.03767674043774605,0.0683864876627922,0.5117243528366089,0.078125,0.1319766342639923
1.4956011772155762,0.34968146681785583,1.400331974029541,0.40396279096603394,0.5269400477409363,0.03437190130352974,0.06356551498174667,0.47670942544937134,0.029246794059872627,0.05415903776884079
1.4831197261810303,0.36110830307006836,1.3853731155395508,0.40072786808013916,0.5140853524208069,0.0376896895468235,0.0689556896686554,0.6140873432159424,0.06891025602817535,0.1215130090713501
1.4833379983901978,0.3644453287124634,1.383590817451477,0.4035584330558777,0.5021932721138,0.041846659034490585,0.07584188133478165,0.5666666030883789,0.031650640070438385,0.05917704477906227
1.476743459701538,0.3618161678314209,1.4000732898712158,0.3764658272266388,0.5190570950508118,0.04232321307063103,0.0769440308213234,0.5501068830490112,0.058493588119745255,0.10348645597696304
1.4725637435913086,0.3682880103588104,1.3726158142089844,0.4100283086299896,0.5510081052780151,0.046695150434970856,0.08439755439758301,0.6391941905021667,0.06530448794364929,0.11612515896558762
1.4685566425323486,0.37081605195999146,1.3743772506713867,0.4156894385814667,0.5343838334083557,0.0528852716088295,0.09464742988348007,0.62589031457901,0.0520833320915699,0.09373563528060913
1.460806131362915,0.3734452426433563,1.3781795501708984,0.4055802524089813,0.5641896724700928,0.05937843769788742,0.10533688217401505,0.6101952791213989,0.062099359929561615,0.11002936959266663
